bn:00028017n	 "A written account of ownership or obligation" "A written account of ownership or obligation"
bn:00068035n	 "The area of AI concerned with the practical use of robots" "The area of AI concerned with the practical use of robots" "Robotics is an interdisciplinary field that integrates computer science and engineering." "Design, construction, operation, and application of robots" "The manufacturing, programming, and testing of robots" "it the manufacture, programming and testing of robots" "The science and technology of robots, and their design, manufacture, and application." "The science and technology of robots, their design, manufacture, and application." "The science and technology of robots."
bn:00043958n	 "Any notation that uses 16 different characters" "Any notation that uses 16 different characters"
bn:00004839n	 "An absence of emotion or enthusiasm" "An absence of emotion or enthusiasm" "Apathy is a lack of feeling, emotion, interest, or concern about something." "Lack of emotion or motivation; lack of interest or enthusiasm towards something; disinterest (in something)." "Lack of emotion or motivation."
bn:00052994n	 "Wrongful conduct by a public official" "Wrongful conduct by a public official" "Misfeasance, nonfeasance, and malfeasance are types of failure to discharge public obligations existing by common law, custom, or statute." "Misconduct or wrongdoing, especially by a public official and causing damage."
bn:00057393n	 "A person suffering a nervous breakdown" "A person suffering a nervous breakdown" "An individual who has neurasthenia." "Person who has neurasthenia."
bn:00026437n	 "Contemptuous laughter" "Contemptuous laughter"
bn:00030463n	 "Preservation (of a dead body) by treating with balsams and drugs and other chemicals" "Preservation (of a dead body) by treating with balsams and drugs and other chemicals" "Embalming is the art and science of preserving human remains by treating them to forestall decomposition."
bn:00067816n	 "(baseball) a pitcher who throws with the right hand" "(baseball) a pitcher who throws with the right hand"
bn:02378398n	 "Robotics;Notes is a visual novel video game developed by 5pb." "2012 video game"
bn:00028018n	 "(computer science) a computer file that contains text (and possibly formatting instructions) using seven-bit ASCII characters" "(computer science) a computer file that contains text (and possibly formatting instructions) using seven-bit ASCII characters" "A text file is a kind of computer file that is structured as a sequence of lines of electronic text." "Computer files of text" "Kind of computer file containing plain text" "Material of any kind, regardless of physical form, which furnishes information, evidence or ideas, including items such as contracts, bills of sale, letters, audio and video recordings, and machine readable data files." "A file that contains text." "A data file containing only plain, human-readable text, distinct from documents with embedded formatting." "Plain, human-readable file containing only text."
bn:00047566n	 "Something that causes irritation and annoyance" "Something that causes irritation and annoyance" "A condition of morbid excitability or oversensitiveness of an organ or part of the body; a state in which the application of ordinary stimuli produces pain or excessive or vitiated action." "Oversensitiveness of part of the body." "He's a thorn in my flesh" "He's a thorn in my flesh"
bn:00028016n	 "Anything serving as a representation of a person's thinking by means of symbolic marks" "Anything serving as a representation of a person's thinking by means of symbolic marks"
bn:00054050n	 "Mechanism consisting of a device that works on mechanical principles" "Mechanism consisting of a device that works on mechanical principles"
bn:00028791n	 "Mechanism that transmits power from the engine to the driving wheels of a motor vehicle" "Mechanism that transmits power from the engine to the driving wheels of a motor vehicle"
bn:00044939n	 "A pad for use under a hot dish to protect a table" "A pad for use under a hot dish to protect a table" "A placemat or table mat is a covering or pad designating an individual place setting, unlike the larger tablecloth that covers the entire surface." "covering or pad designating an individual place setting,"
bn:00053375n	 "Venetian traveler who explored Asia in the 13th century and served Kublai Khan (1254-1324)" "Venetian traveler who explored Asia in the 13th century and served Kublai Khan (1254-1324)" "Marco Polo was a Venetian merchant, explorer, and writer who travelled through Asia along the Silk Road between 1271 and 1295."
bn:00001939n	 "A prolonged period of time" "A prolonged period of time" "The period of time that a person, animal or plant has lived or is expected to live." "We've known each other for ages" "I haven't been there for years and years" "We've known each other for ages" "I haven't been there for years and years"
bn:00028670n	 "A power shovel to remove material from a channel or riverbed" "A power shovel to remove material from a channel or riverbed" "Unconsolidated material removed from rivers, streams, and shallow seas with machines such as the bucket-ladder dredge, dragline dredge, or suction dredge." "The act of using a dredger or excavator to dredge a harbour, river, channel or watercourse."
bn:00019905n	 "Someone who does clog dancing" "Someone who does clog dancing"
bn:00021558n	 "Something or someone that causes anxiety; a source of unhappiness" "Something or someone that causes anxiety; a source of unhappiness" "The expression of solicitude, anxiety, or compassion toward a thing or person." "New York traffic is a constant concern" "It's a major worry" "New York traffic is a constant concern" "It's a major worry"
bn:00033974n	 "Any distracting or deceptive maneuver (as a mock attack)" "Any distracting or deceptive maneuver (as a mock attack)" "Feint is a French term that entered English via the discipline of swordsmanship and fencing." "A technique used in strategy games and warfare"
bn:00027866n	 "An attack calculated to draw enemy defense away from the point of the principal attack" "An attack calculated to draw enemy defense away from the point of the principal attack" "A tactic used to draw attention away from the real threat or action." "Tactic used to draw attention away from the real threat or action."
bn:00010715n	 "The office and dignity of a bishop" "The office and dignity of a bishop" "The office and dignity of a bishop."
bn:00064845n	 "Coloration making an organism less visible or attractive to predators" "Coloration making an organism less visible or attractive to predators" "The method which allows an otherwise visible organism or object to remain indiscernible from the surrounding environment."
bn:00063391n	 "A mallet used to strike the ball in polo" "A mallet used to strike the ball in polo"
bn:00022152n	 "The manifestation of scorn and contempt" "The manifestation of scorn and contempt" "The state of being contemptuous." "Every subordinate sensed his contemptuousness and hated him in return" "Every subordinate sensed his contemptuousness and hated him in return"
bn:00051704n	 "The quality of being disgusting to the senses or emotions" "The quality of being disgusting to the senses or emotions" "A loathsome thing." "The characteristic of being repulsive." "The vileness of his language surprised us" "The vileness of his language surprised us"
bn:00033530n	 "Comprising only the manatees" "Comprising only the manatees"
bn:00009919n	 "A steady bright blue light; formerly used as a signal but now a firework" "A steady bright blue light; formerly used as a signal but now a firework" "An event or a display where fireworks are set off." "A bright blue flare prepared from nitre, sulphur, and the black sulphide of antimony; formerly used in signalling, but now chiefly as fireworks." "Bright blue flare." "A device using gunpowder and other chemicals which, when lit, emits a combination of coloured flames, sparks, whistles or bangs, and sometimes made to rocket high into the sky before exploding, used for entertainment or celebration." "Exploding device." "Commercial firework displays are commonly launched from boats or other vessels."
bn:00024855n	 "Large family of small soft-finned fishes; killifishes; flagfishes; swordtails; guppies" "Large family of small soft-finned fishes; killifishes; flagfishes; swordtails; guppies"
bn:00057340n	 "An emotional disorder that leaves you exhausted and unable to work" "An emotional disorder that leaves you exhausted and unable to work" "A nervous breakdown."
bn:00030757n	 "The end of a word (a suffix or inflectional ending or final morpheme)" "The end of a word (a suffix or inflectional ending or final morpheme)" "A morpheme that is placed at the end of a word." "The last morpheme of a word, added to some base to make an inflected form (such as -ing in \"ending\")." "A morpheme added at the end of a word to modify the word's meaning." "Morpheme added at the end of a word to modify the word's meaning." "The last part of a word; an ending, a desinence; a suffix." "I don't like words that have -ism as an ending" "I don't like words that have -ism as an ending" "The suffix \"-able\" changes \"sing\" into \"singable\"."
bn:00011431n	 "Underpants worn by women" "(used in the plural) underpants worn by women" "Bloomers, also called the bloomer, the Turkish dress, the American dress, or simply reform dress, are divided women's garments for the lower body." "The undergarment named after Amelia Bloomer." "Drawers with full, loose legs gathered above or below the knee; worn by women and children" "An item of clothing worn on the lower part of the body and covering both legs separately." "Piece of cloth adapted to cover the genitals and buttocks of a man or a woman." "Any of several forms of women’s divided garment for the lower body." "Any clothing covering the legs, such as shorts, trousers, or tights." "(slang) clothing covering on the legs." "An undergarment that covers the genitals and often the buttocks and the neighbouring parts of the body; underpants." "She was afraid that her bloomers might have been showing" "She was afraid that her bloomers might have been showing"
bn:00032724n	 "A person with a record of failing; someone who loses consistently" "A person with a record of failing; someone who loses consistently" "A disparaging, belittling or derogatory word or expression" "A person who loses; one who fails to win or thrive." "Person who fails to win." "In a two-horse race there is always one winner and one loser." "He was always a good loser."
bn:00043959n	 "A positional system of numeration that uses hexadecimal digits and a radix of sixteen" "A positional system of numeration that uses hexadecimal digits and a radix of sixteen" "In mathematics and computing, the hexadecimal numeral system is a positional numeral system that represents numbers using a radix of 16." "Or hex, a base-16 number system often used in computer nomenclature" "Numerical system on base 16" "A number system with base sixteen, using the digits 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, A, B, C, D, E and F, most used in computing as a hexadecimal digit can represent four bits, half a standard byte." "Number system with base sixteen."
bn:00078214n	 "The property of being shaped like a triangle" "The property of being shaped like a triangle" "A polygon with three sides and three angles." "Polygon." "The state or quality of having the shape of a triangle."
bn:00057570n	 "The editor of a newspaper" "The editor of a newspaper"
bn:00045728n	 "An appliance included in some electric refrigerators for making ice cubes" "An appliance included in some electric refrigerators for making ice cubes" "An icemaker, ice generator, or ice machine may refer to either a consumer device for making ice, found inside a home freezer; a stand-alone appliance for making ice, or an industrial machine for making ice on a large scale." "Consumer device for making ice, found inside a  freezer"
bn:00026810n	 "The branch of medical science dealing with the classification of disease" "The branch of medical science dealing with the classification of disease" "Diagnosis is the identification of the nature and cause of a certain phenomenon." "Nosology is the branch of medical science that deals with the classification of diseases." "Medical shorthand symbol generally written as Dx or D x" "Classification of diseases" "Branch of medicine that deals with classification of diseases" "The study of diseases; the systematic investigation or classification of disease." "The systematic investigation or classification of disease."
bn:00030462n	 "A mortician who treats corpses with preservatives" "A mortician who treats corpses with preservatives" "One who embalms a corpse; a practicioner of mortuary science." "One who embalms."
bn:00078929n	 "An official at a baseball game" "An official at a baseball game" "An umpire." "Informal term for umpire." "One of usually 4 officials who preside over a baseball game." "The umpire called the pitch a strike."
bn:00080005n	 "The legal status or condition of servitude of a villein or feudal serf" "The legal status or condition of servitude of a villein or feudal serf" "A feudal system involving villeins; serfdom."
bn:00053479n	 "Someone who promotes or exchanges goods or services for money" "Someone who promotes or exchanges goods or services for money" "In a supply chain, a vendor, or a seller, is an enterprise that contributes goods or services." "Business that supplies, provides and usually sells goods or services" "When a sales representative meets with a potential client for the purpose of transacting a sale" "One who sells or offers to sell." "One who sells goods at a market." "Someone who sells; a vendor; a clerk." "Someone who sells." "Someone who traffics; a trader or merchant." "A person or a company that vends or sells." "A person or a company that vends or sells." "Alisha was a seller of fine books."
bn:00023954n	 "Someone who adopts the dress or manner or sexual role of the opposite sex" "Someone who adopts the dress or manner or sexual role of the opposite sex" "A person who wears clothing which society considers appropriate only for members of the opposite sex." "A person who sometimes wears clothes traditionally worn by and associated with the opposite sex; typically a male who cross-dresses occasionally by habit or personal choice."
bn:00009656n	 "(behavioral attributes) the way a person behaves toward other people" "(behavioral attributes) the way a person behaves toward other people" "Manner of behaving oneself; manner of acting." "Any observable action or response of an organism, group or species to environmental factors." "The way a living creature behaves or acts generally." "The way a living creature behaves or acts." "She can't stop the strange behaviour because she has OCD (obsessive-compulsive disorder)."
bn:00019904n	 "A dance performed while wearing shoes with wooden soles; has heavy stamping steps" "A dance performed while wearing shoes with wooden soles; has heavy stamping steps" "A type of shoe with an inflexible, often wooden sole sometimes with an open heel." "A type of shoe with an inflexible, often wooden sole and an open heel." "Any dance performed while wearing clogs, producing a percussive sound." "Dutch people rarely wear clogs these days."
bn:00010714n	 "The territorial jurisdiction of a bishop" "The territorial jurisdiction of a bishop" "In church governance, a diocese or bishopric is the ecclesiastical district under the jurisdiction of a bishop." "The priest who acts as the highest religious official in a diocese." "In Christian religions, a region administered by a bishop." "A diocese or region of a church which a bishop governs." "Diocese." "Region administered by a bishop." "Region administered by a bishop." "A bishop's jurisdiction, the extent of his diocese." "Later that year, he was appointed to the bishopric of Lindesmeere."
bn:00016053n	 "Hatch opening into the cargo compartment" "Hatch opening into the cargo compartment"
bn:00022270n	 "A voluntary gift (as of money or service or ideas) made to some worthwhile cause" "A voluntary gift (as of money or service or ideas) made to some worthwhile cause" "A donation is a gift for charity, humanitarian aid, or to benefit a cause." "A gift given, typically to a cause or/and for charitable purposes" "A voluntary gift or contribution for a specific cause." "A voluntary gift or contribution for a specific cause." "A voluntary gift or contribution for a specific cause." "They were collecting donations for the elderly at Christmas."
bn:00037374n	 "A band (usually elastic) worn around the leg to hold up a stocking (or around the arm to hold up a sleeve)" "A band (usually elastic) worn around the leg to hold up a stocking (or around the arm to hold up a sleeve)" "A garter is an article of clothing comprising a narrow band of fabric fastened about the leg to keep up stockings." "An item of clothing used to hold up stockings" "Stocking supporter" "A band worn around the leg to hold up a sock or stocking." "Band around leg." "A garter worn around the leg to support a sock or stocking."
bn:00042810n	 "Advantage given to a competitor to equalize chances of winning" "Advantage given to a competitor to equalize chances of winning" "A race or similar contest in which there is an allowance of time, distance, weight, or other advantage, to equalize the chances of the competitors."
bn:00057942n	 "A failure to act when under an obligation to do so; a refusal (without sufficient excuse) to do that which it is your legal duty to do" "A failure to act when under an obligation to do so; a refusal (without sufficient excuse) to do that which it is your legal duty to do"
bn:01924581n	 "Chaos;Head Love Chu Chu! " "Video game"
bn:00024854n	 "Any member of the family Cyprinodontidae" "Any member of the family Cyprinodontidae" "Any of the Cyprinodontidae, a family of fishes including the killifishes or minnows."
bn:00043811n	 "(genetics) attributes acquired via biological heredity from the parents" "(genetics) attributes acquired via biological heredity from the parents" "The hereditary passing of biological attributes from the parents to its offspring." "The biological attributes passed hereditarily from ancestors to their offspring." "Biological attributes passed to offspring."
bn:00022146n	 "Lack of respect accompanied by a feeling of intense dislike" "Lack of respect accompanied by a feeling of intense dislike" "Contempt is a pattern of attitudes and behaviour, often towards an individual or group, but sometimes towards an ideology, which has the characteristics of disgust and anger." "Advanced emotion" "The feeling or attitude of regarding someone or something as inferior, base, or worthless." "A feeling of contempt for anything regarded as unworthy." "The state or act of contemning; the feeling or attitude of regarding someone or something as inferior, base, or worthless; scorn, disdain." "A feeling or attitude." "Action or behaviour displaying such feelings; an outrage, insult." "That which is worthy to be disdained or regarded with contempt and aversion." "Contempt or disdain." "Contempt, disdain." "He was held in contempt" "The despite in which outsiders were held is legendary" "He was held in contempt" "The despite in which outsiders were held is legendary"
bn:00026807n	 "A procedure followed in making a medical diagnosis" "A procedure followed in making a medical diagnosis" "Diagnosis is the identification of the nature and cause of a certain phenomenon." "Medical shorthand symbol generally written as Dx or D x"
bn:00027571n	 "Extreme unpalatability to the mouth" "Extreme unpalatability to the mouth" "An intense dislike or loathing someone feels for something bad or nasty." "An intense dislike or repugnance." "The state or quality of being distasteful or objectionable; causing averseness; unpleasantness." "With an air of disgust, she stormed out of the room."
bn:00029774n	 "A person responsible for the editorial aspects of publication; the person who determines the final content of a text (especially of a newspaper or magazine)" "A person responsible for the editorial aspects of publication; the person who determines the final content of a text (especially of a newspaper or magazine)" "An editor-in-chief, also known as lead editor or chief editor, is a publication's editorial leader who has final responsibility for its operations and policies." "Having final responsibility for a publication's operations and policies" "A publication's editorial leader who has final responsibility for its operations and policies" "A person at a newspaper or similar institution who edits stories and decides which ones to publish." "The highest ranking editor on an editorial staff." "Highest ranking editor."
bn:00045727n	 "An electric refrigerator to supply ice cubes" "An electric refrigerator to supply ice cubes" "A device found in a freezer that is used to make ice." "Device."
bn:00036010n	 "The practice of predicting people's futures (usually for payment)" "The practice of predicting people's futures (usually for payment)" "Fortune telling is the practice of predicting information about a person's life." "Predicting the future, usually of an individual, often commercially" "Practice of predicting information about a person's life" "The practice of predicting information about a person's future." "The act or practise of predicting the future (especially for money), as by using a crystal ball, reading palms, reading tea leaves in a cup, etc.; prediction of future events, especially those of a personal nature." "Fortunetelling, predicting one's future."
bn:00065906n	 "An announcer whose voice is broadcast on radio" "An announcer whose voice is broadcast on radio"
bn:00058511n	 "Something immaterial that stands in the way and must be circumvented or surmounted" "Something immaterial that stands in the way and must be circumvented or surmounted" "Something immaterial that stands in the way and must be circumvented or surmounted." "Something that impedes, stands in the way of, or holds up progress." "Something that impedes, stands in the way of, or holds up progress." "Something which obstructs or impedes, either intentionally or unintentionally." "Lack of imagination is an obstacle to one's advancement" "The poverty of a district is an obstacle to good education" "The filibuster was a major obstruction to the success of their plan" "The poverty of a district is an obstacle to good education" "The filibuster was a major obstruction to the success of their plan" "Lack of imagination is an obstacle to one's advancement" "A big obstacle to understanding the manual was that it had been poorly translated from the Japanese."
bn:00050528n	 "Preference for using the left hand" "Preference for using the left hand"
bn:00023971n	 "The practice of adopting the clothes or the manner or the sexual role of the opposite sex" "The practice of adopting the clothes or the manner or the sexual role of the opposite sex" "Cross-dressing is the act of wearing items of clothing not commonly associated with one's sex." "Transvestism is the practice of dressing in a manner traditionally associated with the opposite sex." "A person who habitually dresses in cross-sex clothing without intention to medically or hormonally transition to that sex." "Practice of dressing and acting in a style or manner traditionally associated with the opposite sex for performance purposes" "Practice of dressing in a manner traditionally associated with the opposite sex" "A condition in which a person identifies himself or herself with the opposite sex, in particular in dress." "The wearing of clothing which society considers appropriate for the opposite sex rather than the wearer's sex."
bn:00026770n	 "Preference for using the right hand" "Preference for using the right hand"
bn:00051891n	 "A sexually precocious young girl" "A sexually precocious young girl" "The term \"Lolita\" is used to define a young girl as \"precociously seductive..." "Term used to portray young girls as precociously seductive" "A sexually alluring underage girl." "A situation resembling the plot of the novel Lolita, in which an adult man has an affair with a young girl." "A young sexually attractive woman."
bn:00289336n	 "\"Egotism; or, The Bosom-Serpent\" is a short story by Nathaniel Hawthorne."
bn:00036006n	 "A person who foretells your personal future" "A person who foretells your personal future" "A person who gives predictions about the future of a person's life."
bn:00009657n	 "(psychology) the aggregate of the responses or reactions or movements made by an organism in any situation" "(psychology) the aggregate of the responses or reactions or movements made by an organism in any situation" "Behavior or behaviour is the actions and mannerisms made by individuals, organisms, systems or artificial entities in conjunction with themselves or their environment, which includes the other systems or organisms around as well as the physical environment." "Way that one acts in different situations" "Any observable action or response of an organism, group or species to environmental factors." "Observable response produced by an organism."
bn:00046867n	 "Letters inscribed (especially words engraved or carved) on something" "Letters inscribed (especially words engraved or carved) on something"
bn:00015292n	 "Food preserved by canning" "Food preserved by canning"
bn:00022271n	 "Act of giving in common with others for a common purpose especially to a charity" "Act of giving in common with others for a common purpose especially to a charity" "The act of giving or bestowing; a grant."
bn:00026160n	 "A statistic characterizing human populations (or segments of human populations broken down by age or sex or income etc.)" "A statistic characterizing human populations (or segments of human populations broken down by age or sex or income etc.)"
bn:00051714n	 "The practice of lobbying; the activities of a lobbyist" "The practice of lobbying; the activities of a lobbyist"
bn:00043812n	 "The biological process whereby genetic factors are transmitted from one generation to the next" "The biological process whereby genetic factors are transmitted from one generation to the next" "Heredity, also called inheritance or biological inheritance, is the passing on of traits from parents to their offspring; either through asexual reproduction or sexual reproduction, the offspring cells or organisms acquire the genetic information of their parents." "Passing of genetic traits to offspring" "Passing of traits to offspring from its parents or ancestor" "Hereditary transmission of the physical and genetic qualities of parents to their offspring; the biological law by which living beings tend to repeat their characteristics in their descendants." "Hereditary transmission."
bn:00062714n	 "A mat serving as table linen for an individual place setting" "A mat serving as table linen for an individual place setting" "A protective table mat, usually heat-resistant, for a single setting of plates and dishes." "Protective table mat."
bn:00073888n	 "Someone who speaks with involuntary pauses and repetitions" "Someone who speaks with involuntary pauses and repetitions" "Agent noun of stammer; one who stammers; a stutterer." "Agent noun of stutter; one who stutters, one who speaks with a stutter." "One who stutters."
bn:00076883n	 "A regulator for automatically regulating temperature by starting or stopping the supply of heat" "A regulator for automatically regulating temperature by starting or stopping the supply of heat" "A thermostat is a component which senses the temperature of a physical system and performs actions so that the system's temperature is maintained near a desired setpoint." "Component which maintains a setpoint temperature" "A device used to maintain the temperature of a system at a desired setpoint temperature." "Any organism that carries out thermoregulation." "A device that automatically responds to changes in temperature by activating a heating or cooling system to maintain the temperature at a desired setting." "Device which maintains the desired temperature."
bn:00043957n	 "A digit from 0 to 15 in hexadecimal notation" "A digit from 0 to 15 in hexadecimal notation"
bn:00011376n	 "Temperature of the body; normally 98.6 F or 37 C in humans; usually measured to obtain a quick evaluation of a person's health" "Temperature of the body; normally 98.6 F or 37 C in humans; usually measured to obtain a quick evaluation of a person's health" "Temperature of the body; normally 37°C in humans." "The measured temperature of the body of a person or animal." "The current temperature of the body of a person or animal, especially when used as a simple guide to health." "The current temperature of the body of a person or animal." "The normal body temperature of a dog falls within the range of about 38°C to 39°C."
bn:00034979n	 "Any cell or one-celled organism equipped with a flagellum" "Any cell or one-celled organism equipped with a flagellum"
bn:00076423n	 "An announcer on television" "An announcer on television"
bn:00000145n	 "The basic unit of electric current adopted under the Systeme International d'Unites" "The basic unit of electric current adopted under the Systeme International d'Unites" "The ampere, often shortened to \"amp\", is the base unit of electric current in the International System of Units." "A unit of electrical current" "SI unit of electric current" "The standard SI unit of electrical current with symbol \"A\"." "Short for ampere." "A typical household circuit carries 15 to 50 amps" "A typical household circuit carries 15 to 50 amps"
bn:00027192n	 "A small boat of shallow draft with cross thwarts for seats and rowlocks for oars with which it is propelled" "A small boat of shallow draft with cross thwarts for seats and rowlocks for oars with which it is propelled" "A dory is a small, shallow-draft boat, about 5 to 7 metres or 16 to 23 feet long." "Oarspowered boat" "Type of boat" "An open boat propelled by pulling oars through the water." "A small open boat, propelled by oars or paddles, carried as a tender, lifeboat, or pleasure craft on a ship." "Small boat." "A small open boat propelled by oars (by rowing)." "Small boat that is rowed." "Any boat propelled only by oars; especially one used for recreation or sport."
bn:00052458n	 "A mob that kills a person for some presumed offense without legal authority" "A mob that kills a person for some presumed offense without legal authority" "A group of vigilantes intent on lynching someone."
bn:00058512n	 "An obstruction that stands in the way (and must be removed or surmounted or circumvented)" "An obstruction that stands in the way (and must be removed or surmounted or circumvented)" "An obstacle is an object, thing, action or situation that causes an obstruction." "Impeding object"
bn:00036073n	 "Factory where metal castings are produced" "Factory where metal castings are produced" "A foundry is a factory that produces metal castings." "Factory that produces metal castings" "A factory which produces metal castings from either ferrous or non-ferrous alloys." "A facility that melts metals in special furnaces and pours the molten metal into molds to make products. Foundries are usually specified according to the type of metal dealt with: iron foundry, brass foundry, etc." "Facility that melts metals." "A factory where metal is processed."
bn:00028566n	 "A skilled worker who draws plans of buildings or machines" "A skilled worker who draws plans of buildings or machines" "A drafter, draughtsman/draughtswoman, draftsman/draftswoman, drafting technician is an engineering technician who makes detailed technical drawings or plans for machinery, buildings, electronics, infrastructure, sections, etc." "Person who prepares technical drawings" "Someone employed in making mechanical drawings, as of machines, structures, etc." "A person who prepares technical drawings and plans." "A draftsman or draftswoman." "A person skilled at drawing engineering or architectural plans." "Person skilled at drawing engineering or architectural plans."
bn:00015297n	 "A factory where food is canned" "A factory where food is canned" "A factory that produces canned goods." "Factory." "Jim had a summer job cleaning and packing salmon at the fish cannery."
bn:00020430n	 "A kitchen appliance for brewing coffee automatically" "A kitchen appliance for brewing coffee automatically" "Coffeemakers or coffee machines are cooking appliances used to brew coffee." "A vending machine that dispenses coffee." "Any of several different types of kitchen apparatus used to brew and filter coffee." "Kitchen apparatus used to brew and filter coffee."
bn:00042812n	 "Someone who sets the betting odds based on calculations of the outcome of a contest (especially a horse race)" "Someone who sets the betting odds based on calculations of the outcome of a contest (especially a horse race)" "One who determines the conditions of a handicap." "One who determines the conditions of a handicap."
bn:00024592n	 "A specific practice of long standing" "A specific practice of long standing" "cultural values and traditions inherited from one's ancestors" "A specific practice of long standing." "Long-established practice, considered as unwritten law, and resting for authority on long consent; usage. See Usage, and Prescription." "Long-established practice."
bn:00014143n	 "Customers collectively" "Customers collectively" "The group of all customers of a shop, a public local, an office etc." "Customers collectively; clientele; business." "Customers collectively; clientele; business." "They have an upper class clientele" "They have an upper class clientele" "The restaurant had an upper-class patronage."
bn:00078425n	 "A strong feeling of anxiety" "A strong feeling of anxiety" "Worry refers to the thoughts, images, emotions, and actions of a negative nature in a repetitive, uncontrollable manner that results from a proactive cognitive risk analysis made to avoid or solve anticipated potential threats and their potential consequences." "Thoughts and images of a negative nature related to anticipated potential threats" "Thoughts, images, emotions, and actions of a negative nature in a repetitive, uncontrollable manner that results from a proactive cognitive risk analysis made to avoid or solve anticipated potential threats and their potential consequences" "A strong feeling of anxiety." "A difficulty, problem, condition, or action contributing to such a situation." "Difficulty." "A strong feeling of anxiety." "Strong feeling of anxiety." "His worry over the prospect of being fired" "It is not work but worry that kills" "He wanted to die and end his troubles" "He wanted to die and end his troubles" "His worry over the prospect of being fired" "It is not work but worry that kills" "The trouble was a leaking brake line. The trouble with that suggestion is that we lack the funds to put it in motion. The bridge column magnified the trouble with a slight tilt in the wrong direction." "I'm afflicted by worry throughout the night."
bn:00073887n	 "A speech disorder involving hesitations and involuntary repetitions of certain sounds" "A speech disorder involving hesitations and involuntary repetitions of certain sounds" "Stuttering, also known as stammering and dysphemia, is a speech disorder in which the flow of speech is disrupted by involuntary repetitions and prolongations of sounds, syllables, words, or phrases as well as involuntary silent pauses or blocks in which the person who stutters is unable to produce sounds." "A speech disorder that sounds like cluttering, and a common word for cluttered speech." "Speech disorder" "The involuntary repetition of a sound in speech." "Involuntary repetition of sounds in speech." "A speech disorder characterised by stuttering." "Speech disorder." "A speech disorder in which the flow of speech is disrupted by involuntary repetitions and prolongations of sounds, syllables, words or phrases, and by involuntary silent pauses or blocks in which the stutterer is unable to produce sounds." "A speech disorder."
